MatterID,Status,CaseSequenceNumber
22201790,Open,16-2022-SC-004931-INSX-MA
22201801T,Open,16-2022-SC-004830-INSX-MA
22201841J,Open,16-2022-CA-001629-XXXX-MA
22201967J,Open,16-2022-SC-005435-INSX-MA
22202009J,Open,16-2022-SC-005903-INSX-MA
22202012,Open,16-2022-SC-005291-INSX-MA
22202033,Open,16-2022-SC-005988-INSX-MA
22202065J,Open,16-2021-SC-022874-XXXX-MA
22202094J,Open,16-2022-SC-006204-INSX-MA
22202210T,Open,16-2022-SC-006659-INSX-MA
22202222T,Open,16-2022-SC-006594-INSX-MA
22202268,Open,16-2022-SC-005733-INSX-MA
22202292T,Open,16-2022-SC-006896-INSX-MA
22202322,Open,2022-CA-002035-XXXX-MA
22202394J,Open,16-2022-SC-007351-INSX-MA
22202417J,Open,16-2022-SC-007721-INSX-MA
22202418J,Open,16-2022-SC-007131-INSX-MA
22202599,Open,16-2022-CA-002286-XXXX-MA
22202600,Open,3:22-cv-00656-BJD-PDB
22202635,Open,16-2022-CA-002626-XXXX-MA Div. CV-H
22202662J,Open,16-2022-SC-008254-INSX-MA
22202663R,Open,16-2022-SC-008008-INSX-MA
22202674,Open,16-2022-SC-008856-INSX-MA
22202681,Open,16-2022-CA-001796-XXXX-MA
22202699J,Open,16-2022-SC-008350-INSX-MA
22202804,Open,16-2021-CA-003075-XXXX-MA
22202981,Open,16-2022-CA-002977-XXXX-MA
22203416,Open,16-2022-CA-003487-XXXX-MA
22203514R,Open,16-2022-SC-011310-INSX-MA
22203548,Open,16-2022-SC-012214-INSX-MA
22203699,Open,16-2022-SC-012208-INSX-MA
22203708,Open, 3:22-cv-01114-TJC-LLL
22203725,Open,16-2022-SC-011652-INSX-MA
22203767R,Open,16-2022-SC-012186-INSX-MA
22203788T,Open,16-2022-SC-011705-INSX-MA
22203820T,Open,16-2022-SC-012468-INSX-MA
22203836,Open,16-2022-SC-012308-INSX-MA
22203864R,Open,16-2022-SC-012899-INSX-MA
22203965,Open,16-2022-SC-025402-INSX
22204181,Open,16-2022-SC-013513-INSX-MA
22204225,Open,16-2022-CA-003706-XXXX-MA
22204230,Open,16-2022-SC-013590-INSX-MA
22204258,Open,16-2022-CA-003760-XXXX-MA
22204460T,Open,16-2022-SC-013125-INSX-MA
22204524,Open,16-2021-SC-006012-XXXX-MA
22204544R,Open,16-2022-SC-015495-INSX-MA
22204578R,Open,16-2022-SC-013393-INSX-MA
22204811T,Open,16-2022-SC-015985-INSX-MA
22204903T,Open,16-2022-SC-016263-INSX-MA
22204906T,Open,16-2022-SC-016482-INSX-MA
22204914T,Open,16-2022-SC-016401-INSX-MA
22204915T,Open,16-2022-SC-016169-INSX-MA
22204947,Open,16-2022-CA-001680-XXXX-MA
22204995T,Open,16-2022-SC-016388-INSX-MA
22205043,Open,16-2022-SC-017508-INSX-MA
22205056T,Open,16-2022-SC-015934-INSX-MA
22205061R,Open,16-2022-SC-016848-INSX-MA
22205078,Open,16-2022-SC-017913-INSX-MA
22205087,Open,16-2022-SC-016383-INSX-MA
22205099T,Open,16-2022-SC-016341-INSX-MA
